,Symbol,Company,Price,52 WkChange %,EstimatedValuation,Total FundingRaised,Latest FundingDate,Latest AmountRaised,Latest RoundShare Class,Private CompanySector
80,REMA.PVT,Redwood Materials,40.00,-13.34%,5.061B,2.175B,2025-10-22,350M,Series E,Energy
81,TURO.PVT,Turo,9.87,-13.72%,1.259B,557.898M,2024-09-29,"457,448",Series 1,Transportation
82,POSM.PVT,Postman,9.94,-14.68%,3.158B,352.001M,2021-08-17,145M,Series D,Software
83,SINA.PVT,Sila Nanotechnologies,13.86,-15.59%,1.708B,3.239B,2024-06-26,375M,Series G,Energy
84,AVIA.PVT,Aviatrix,3.48,-18.50%,411.025M,383.087M,2021-09-07,200M,Series E,Data and Analytics
85,RAPP.PVT,Rappi,21.33,-19.51%,1.737B,5.871B,2021-07-20,496.1M,Series F,Transportation
86,OUTR.PVT,Outreach,2.00,-20.00%,303.183M,490.857M,2021-05-26,201.027M,Series G,Software
87,APOL.PVT,Apollo.io,12.77,-20.19%,922.777M,656.524M,2023-08-28,100.65M,Series D,Sales and Marketing
88,INSA.PVT,Instabase,3.97,-21.39%,801.783M,276.216M,2025-01-16,100M,Series D,Data and Analytics
89,CIHE.PVT,Cityblock Health,15.52,-22.05%,1.228B,1.827B,2024-06-17,39M,Series X,Health Care
90,DTMR.PVT,Dataminr,8.93,-23.54%,832.202M,1.035B,2021-03-22,475M,Series F,Software
91,THSP.PVT,ThoughtSpot,3.09,-24.08%,537.093M,802.884M,2023-07-17,124.638M,Series F-1,Software
92,ACOR.PVT,Acorns,3.00,-25.37%,467.401M,838.725M,2023-03-30,111.358M,Series G-E,Financial Services
93,APSC.PVT,Apeel Sciences,1.32,-28.26%,325.115M,647.05M,2021-08-17,250M,Series E,Agriculture and Farming
94,IMPF.PVT,Impossible Foods,1.60,-28.89%,452.823M,1.961B,2021-11-22,500.145M,Series H-1,Food and Beverage
95,ENRX.PVT,EnergyX,5.67,-29.13%,571.512M,105.846M,2023-06-29,37.433M,Series B,Energy
96,ZOCD.PVT,Zocdoc,5.00,-29.68%,446.48M,1.149B,2021-02-10,100M,Series D-2,Health Care
97,STRV.PVT,Strava,13.99,-30.05%,2.2B,228.485M,2025-05-21,50M,Series F-1,Apps
98,SANS.PVT,SambaNova,30.99,-30.55%,2.238B,1.431B,2026-02-03,300M,Series E-1,Hardware
99,AVTN.PVT,Avathon,3.73,-31.56%,334.89M,653.023M,2022-01-24,123M,Series D,Artificial Intelligence
100,INNA.PVT,Innovaccer,2.39,-31.71%,1.117B,653.62M,2025-01-08,153.044M,Series F-1,Health Care
101,NEFJ.PVT,Neo4j,6.93,-33.94%,1.239B,711.825M,2021-11-08,197.031M,Series F,Data and Analytics
102,KORE.PVT,Kore.ai,9.50,-33.98%,530.745M,248.088M,2024-01-29,150M,Series D,Software
103,CHAA.PVT,Chainalysis,7.25,-34.98%,1.547B,587.402M,2022-05-11,150M,Series F,Privacy and Security
104,SIST.PVT,SingleStore,1.51,-40.08%,310.482M,388.782M,2022-07-11,116M,Series F-2,Data and Analytics
105,HTWO.PVT,H2O.ai,2.32,-45.41%,137.791M,744.029M,2021-11-06,91.031M,Series E,Software
106,ATTE.PVT,Attentive,6.03,-59.80%,913.457M,866.121M,2021-03-23,470.1M,Series E,Sales and Marketing
107,SIXS.PVT,6sense,3.50,-64.57%,575.548M,525.798M,2022-01-19,180M,Series E-1,Software
108,DATO.PVT,DataRobot,0.72,-66.51%,169.773M,3.361B,2021-07-26,330M,Series G,Data and Analytics
